DATAFLOW,Frequency,Time,Pacific Island Countries and territories,Indicator,Sex,Age,Urbanization,Poverty,Food security,Food category,OBS_VALUE,Unit of measure
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,Urban,Total,Total,Tobacco/kava,40.9,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,Rural,Total,Total,Eggs,5.8,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Choiseul,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Milk and cheese,0.9,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Central,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Tobacco/kava,52.4,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Rennell-Bell,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Stimulants,27.9,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Guadalcanal,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Vegetable oils and fats,29.6,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Honiara,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Alcoholic beverages,19.4,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed less than the average number of products consumed in the group,Total,15-24,National,Total,Total,Oils and fats,6.4,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed less than the average number of products consumed in the group,Total,25-59,National,Total,Total,Non alcoholoc beverages,21.7,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed less than the average number of products consumed in the group,Total,60+,National,Total,Total,Oils crops,51.9,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Choiseul,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Spices and additive,1.1,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Rennell-Bell,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Milk and cheese,1.1,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Malaita,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Meat and meat products,1.5,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Honiara,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Oils crops,1.6,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average quantity as acquired,Total,All ages,Rural,Total,Total,Meals consumed away from home,69.2,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Tafea,Average quantity as acquired,Total,All ages,National,Total,Total,Sugars and syrups,17.0,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average quantity as acquired,Total,60+,National,Total,Total,Tobacco/kava,31.0,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average quantity as acquired,Total,All ages,National,No poverty,Total,Vegetable oils and fats,12.3,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average edible quantity,Total,All ages,National,Total,Total,Meat and meat products,66.9,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Penama,Average edible quantity,Total,All ages,National,Total,Total,Miscellaneous and prepared foods,106.4,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Malampa,Average edible quantity,Total,All ages,National,Total,Total,Meat and meat products,63.1,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Shefa,Average edible quantity,Total,All ages,Rural,Total,Total,Cereals and cereal products,393.4,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average edible quantity,Total,15-24,National,Total,Total,Roots and tubers,519.3,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average edible quantity,Total,60+,National,Total,Total,Meals consumed away from home,82.2,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average edible quantity,Total,All ages,National,No poverty,Total,Oils and fats,4.5,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average edible quantity,Total,All ages,National,Poverty,Total,Sugars and syrups,7.7,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average edible quantity,Total,All ages,National,Total,Moderately or severely food insecure,Roots and tubers,435.0,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average Dietary Energy Consumption,Total,All ages,Urban,Total,Total,Non alcoholoc beverages,9.8,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Sanma,Average Dietary Energy Consumption,Total,All ages,Urban,Total,Total,Vegetables and vegetable products,336.4,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Shefa,Average Dietary Energy Consumption,Total,All ages,Urban,Total,Total,Roots and tubers,574.0,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average Dietary Energy Consumption,Male,All ages,National,Total,Total,Sugars and syrups,62.3,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average expenditures,Total,All ages,National,Total,Total,Meals consumed away from home,21.2,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Torba,Average expenditures,Total,All ages,National,Total,Total,Alcoholic beverages,11.5,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Sanma,Average expenditures,Total,All ages,Urban,Total,Total,Cereals and cereal products,59.6,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Sanma,Average expenditures,Total,All ages,Urban,Total,Total,Eggs,1.3,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Malampa,Average expenditures,Total,All ages,National,Total,Total,Meals consumed away from home,24.8,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Shefa,Average expenditures,Total,All ages,Rural,Total,Total,Spices and additive,5.3,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of HH who consumed at least one product of the group,Total,All ages,Urban,Total,Total,Meals consumed away from home,67.5,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of HH who consumed at least one product of the group,Male,All ages,National,Total,Total,Vegetable oils and fats,57.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Food secure or mildly food insecur,Fruits and fruit products,98.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Torba,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Total,Vegetables and vegetable products,51.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Sanma,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,Urban,Total,Total,Fruits and fruit products,44.8,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed more than the average number of products consumed in the group,Total,15-24,National,Total,Total,Stimulants,7.4,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Moderately or severely food insecure,Stimulants,5.7,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Tobacco/kava,23.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Torba,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Stimulants,12.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Sanma,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,Urban,Total,Total,Meat and meat products,37.8,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Malampa,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Total,Tobacco/kava,22.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Shefa,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,Urban,Total,Total,Stimulants,7.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed less than the average number of products consumed in the group,Female,All ages,National,Total,Total,Vegetable oils and fats,49.4,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed less than the average number of products consumed in the group,Total,15-24,National,Total,Total,Tree nuts,21.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed less than the average number of products consumed in the group,Total,25-59,National,Total,Total,Fruits and fruit products,57.5,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed less than the average number of products consumed in the group,Total,60+,National,Total,Total,Alcoholic beverages,4.6,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,National,Total,Moderately or severely food insecure,Tree nuts,27.5,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Non alcoholoc beverages,1.4,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average number of products consumed by household by food group,Total,All ages,Urban,Total,Total,Tobacco/kava,2.2,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Torba,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Milk and cheese,1.0,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Sanma,Average number of products consumed by household by food group,Total,All ages,Rural,Total,Total,Meat and meat products,1.8,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Malampa,Average number of products consumed by household by food group,Total,All ages,National,Total,Total,Non alcoholoc beverages,1.5,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Shefa,Average number of products consumed by household by food group,Total,All ages,Urban,Total,Total,Tree nuts,1.0,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Shefa,Average number of products consumed by household by food group,Total,All ages,Rural,Total,Total,Stimulants,1.5,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average number of products consumed by household by food group,Total,15-24,National,Total,Total,Oils and fats,1.0,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Vanuatu,Average number of products consumed by household by food group,Total,All ages,National,Total,Moderately or severely food insecure,Oils and fats,1.0,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average edible quantity,Total,All ages,National,Total,Total,Cereals and cereal products,400.8,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average edible quantity,Male,All ages,National,Total,Total,Meals consumed away from home,0.0,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average edible quantity,Total,All ages,National,Total,Moderately or severely food insecure,Fish and fish products,152.1,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Total,All ages,Urban,Total,Total,Eggs,1.4,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Total,All ages,Rural,Total,Total,Vegetables and vegetable products,18.7,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,Rural,Total,Total,Stimulants,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,15-24,National,Total,Total,Eggs,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,National,Poverty,Total,Oils and fats,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,National,Total,Moderately or severely food insecure,Cereals and cereal products,0.5,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Total,Fruits and fruit products,84.6,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,Urban,Total,Total,Roots and tubers,17.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,South Tarawa,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Total,Non alcoholoc beverages,72.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Central Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Total,Fish and fish products,100.0,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Male,All ages,National,Total,Total,Oils and fats,12.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Female,All ages,National,Total,Total,Meals consumed away from home,73.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,25-59,National,Total,Total,Alcoholic beverages,22.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average quantity as acquired,Total,All ages,Rural,Total,Total,Sugars and syrups,104.3,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,South Tarawa,Average quantity as acquired,Total,All ages,National,Total,Total,Alcoholic beverages,34.5,g/capita/day
